A27,A24,A42,A41,A26,A22,A13,A16,A46,A15,A23,A39,A19,A35,A6,A45,A12,A25,A18,A38,A11,A14,A7,A1,A51,Bankrupt,Bankruptcy_Probability,Risk_Level
1.4582,0.47706,0.12804,0.051402,0.60411,0.21402,0.1666,0.73378,1.5225,497.42,0.11998,0.12804,0.14942,0.21402,0.38825,1.0097,0.6598,0.50494,0.24976,0.50591,0.24976,0.24976,0.24976,0.20055,0.37854,0.0,0.006240717198983323,Low Risk
88.444,0.1551,0.14595,0.064371,0.43992,0.24806,0.15835,0.53838,1.1252,677.96,0.12304,0.1213,0.152,0.20616,0.0,0.51045,0.5168,0.39542,0.25834,0.49788,0.26114,0.25834,0.25834,0.20912,0.49988,0.0,0.0892906625247245,Low Risk
86.011,0.1551,0.23117,0.07402,0.37282,0.3026,0.24435,0.45961,1.0101,794.16,0.18996,0.24114,0.2361,0.31565,0.0,0.94807,0.64184,0.28932,0.30906,0.51537,0.31258,0.30906,0.30906,0.24866,0.48152,0.0,0.07437907263091485,Low Risk
0.94076,0.17193,0.088995,0.069622,0.36152,0.1155,0.094257,0.39803,1.5696,917.01,0.062782,0.088995,0.071428,0.1155,0.14988,0.2872,0.30163,0.57353,0.092704,0.57353,0.092704,0.092704,0.092704,0.081483,0.30734,0.0,0.003038095238095238,Low Risk
1.4138,0.18732,0.12231,0.09668,0.32211,0.19832,0.12182,0.32211,0.95787,1133.2,0.11553,0.12231,0.11553,0.19832,0.18732,0.73919,0.33147,0.38677,0.18732,0.43489,0.18732,0.18732,0.18732,0.18732,0.56511,0.0,0.049888175540762254,Low Risk
55.511,0.1551,0.14204,0.056701,0.48181,0.28104,0.14812,0.58858,0.53744,620.14,0.11535,0.13932,0.14222,0.27566,0.0,0.3925,0.58691,0.4997,0.28139,0.51361,0.28645,0.28139,0.28139,0.22822,0.47944,0.0,0.09179983720006034,Low Risk
0.0,0.1551,0.0,0.050653,0.82965,0.0,0.30963,0.82965,1.0249,439.94,0.064036,0.0144,0.064036,0.024982,0.0,0.40485,0.18041,0.31469,0.11109,0.35256,0.12575,0.11109,0.11109,0.11109,0.61576,0.0,0.0017209302325581395,Low Risk
16.158,0.1551,0.4246771999999999,0.001269,9.21009599999998,0.67129,0.7681151999999999,9.96986399999998,26.50011999999998,14.272,0.4216051999999999,0.08673,0.4641939999999996,0.056612,0.0,7.4458,9.36795199999999,0.9444935999999998,0.6524,0.9843184,0.69394,0.6524,0.6524,0.53232,0.013323,0.0,0.20224394489411782,Low Risk
1.0714,0.000222,0.023085,0.30865,0.073572,0.030778,0.038938,0.082138,0.81192,4443.7,0.006766,0.18011,0.010827,0.24013,0.0,0.06743,0.033921,0.34828,0.014434,0.49344,0.043162,0.014434,0.014434,0.00902,0.42554,0.0,0.17016577973579003,Low Risk
5.0592,0.1551,0.074772,0.16994,0.15547,0.15819,0.075411,0.1903,0.40912,1918.1,0.058651,0.079665,0.072451,0.16854,0.0,0.19467,0.18284,0.15445,0.15328,0.16163,0.18454,0.15328,0.15328,0.12408,0.83831,0.0,0.46027815773489356,Medium Risk
0.0,0.1551,0.0,0.021562,2.087,0.0,0.1951,2.087,0.7711,174.89,0.050585,0.003231,0.050585,0.01533,-0.9319,0.83822,0.56072,-0.63075,0.24001,0.55645,0.24227,0.24001,0.24001,0.24001,0.42804,0.0,0.02462008326584278,Low Risk
-0.42174,-0.076857,-0.046482,0.068443,0.45821,-0.024649,0.10164,0.48347,0.77866,754.95,-0.051136,-0.046482,-0.045825,-0.024649,-0.084883,-0.18758,-0.21798,0.85551,-0.0243,0.85551,-0.0243,-0.0243,-0.0243,-0.027117,0.11148,0.0,0.03229955728601408,Low Risk
1.1885,0.51586,0.10548,0.035883,0.80759,0.30471,0.12047,0.99444,2.0239,367.04,0.092322,0.10548,0.11496,0.30471,0.55983,0.88253,1.0993,0.65006,0.33207,0.69793,0.33207,0.33207,0.33207,0.26669,0.30207,0.0,0.007149748803318456,Low Risk
2.6744,0.24604,0.21276,0.12097,0.3422,0.05373,0.31036,0.39415,2.2195,926.03,0.2682,0.21276,0.30912,0.05373,0.21265,2.2025,1.8736,0.80115,0.078063,0.95834,0.078063,0.078063,0.078063,0.067731,0.041664,0.0,0.032028676036409666,Low Risk
-0.65622,0.016014,-0.064076,-0.54879,0.041561,-0.050624,0.004191,0.015671,4.2624,23292.0,-0.036936,-0.064076,-0.043861,-0.050624,0.010387,-0.12797,-0.50333,0.78869,-0.034653,0.93115,-0.034653,-0.034653,-0.034653,-0.029182,0.068848,0.0,0.0790872138491078,Low Risk
-0.28604,-0.10413,-0.029258,-0.60828,-0.024924,-0.06741,-0.012483,-0.024924,0.58064,-14644.0,-0.01467,-0.029258,-0.01467,-0.06741,-0.10413,-0.12161,-0.029291,-0.18349,-0.033801,-0.18349,-0.033801,-0.033801,-0.033801,-0.033801,1.154,0.0,0.16611168549678654,Low Risk
2.2609,0.9098,0.1851,0.026329,1.0326,0.33518,0.20684,1.2521,2.0198,291.52,0.1494,0.1851,0.18567,0.33518,0.72793,1.6533,1.1239,0.6675,0.33619,0.6675,0.33619,0.33619,0.33619,0.27053,0.29913,0.0,0.0020511345999981536,Low Risk
0.29448,0.03447,0.029084,0.080697,0.29652,0.054953,0.04419,0.34458,2.1394,1059.3,0.014863,0.029084,0.021027,0.054953,0.021598,0.14973,0.185,0.75206,0.039729,0.77962,0.039729,0.039729,0.039729,0.028084,0.21475,0.0,0.013476113778844868,Low Risk
33.062,0.1551,0.10206,0.0734,0.40452,0.23173,0.117,0.47408,1.0786,769.91,0.089812,0.1077,0.10698,0.24454,0.0,2.2434,0.43347,0.40929,0.24291,0.43963,0.24991,0.24291,0.24291,0.20393,0.56037,0.0,0.03718881812646267,Low Risk
26.249,0.1551,0.11558,0.050359,0.55101,0.26383,0.14063,0.64654,1.5876,564.55,0.091453,0.11299,0.11223,0.25792,0.005436,1.159,0.61357,0.43302,0.25619,0.52714,0.26624,0.25619,0.25619,0.20876,0.41754,0.0,0.03196718962761221,Low Risk
5.2243,0.1551,0.15363,0.13169,0.18828,0.15215,0.14828,0.23244,1.5922,1570.3,0.11227,0.15254,0.14044,0.15106,0.24347,1.0996,0.56092,0.35465,0.13909,0.74782,0.16821,0.13909,0.13909,0.11119,0.24796,0.0,0.03481857247984816,Low Risk
-3.0867,-0.30505,-0.40068,-0.13239,-0.22523,-0.33399,-0.33838,-0.22523,0.38501,-1620.6,-0.36596,-0.40068,-0.36596,-0.33399,-0.30505,-0.90598,-0.29829,-0.31738,-0.30505,-0.087747,-0.30505,-0.30505,-0.30505,-0.30505,1.0227,0.0,0.7077553377243297,High Risk
5.5662,0.1551,0.057977,0.099222,0.34248,0.12362,0.098824,0.3972,0.72092,918.94,0.059602,0.053877,0.073216,0.11488,0.0,0.24056,0.29516,0.44796,0.15611,0.4695,0.17832,0.15611,0.15611,0.12709,0.52891,0.0,0.16673553300919947,Low Risk
50.281,0.1551,0.089279,0.11402,0.25209,0.15293,0.11511,0.29747,1.1506,1227.0,0.073699,0.089183,0.09126,0.15277,0.020227,0.99956,0.25346,0.32996,0.15633,0.37437,0.15937,0.15633,0.15633,0.12624,0.61676,0.0,0.08352178852616758,Low Risk
